"filename", "language", "Lua", "comment", "blank", "total"
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\Client\Vanity\PresetManagement\PresetManager.lua", "Lua", 6, 0, 1, 7
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\Server\Vanity\ServerPresetManager.lua", "Lua", 4, 0, 0, 4
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\Shared\Vanity\UserPresetPoolManager.lua", "Lua", 10, 0, 2, 12
"Total", "-", 20, 0, 3, 23
